id,name,cause,regions,source_primary,source_url,evidence_text,transparency_notes,transparency_url
1,Against Malaria Foundation,Malaria prevention,Sub-Saharan Africa,GiveWell,https://www.givewell.org/charities/against-malaria-foundation,"Distributes long-lasting insecticide-treated mosquito nets (LLINs) to prevent malaria transmission in vulnerable populations. Malaria kills approximately 600,000 people annually, mostly children under 5. Multiple high-quality randomized controlled trials have consistently found strong impact from net distributions. GiveWell estimates cost of approximately $5,500 per life saved (2022-2024 average). About $6 to provide one net that protects families while sleeping.","Conducts extensive post-distribution monitoring to verify net usage and coverage. Publishes detailed distribution reports and monitoring data publicly.",https://www.againstmalaria.com/distributions.aspx
2,Malaria Consortium,Malaria prevention,Sub-Saharan Africa (Sahel region),GiveWell,https://www.givewell.org/charities/malaria-consortium,"Delivers seasonal malaria chemoprevention (SMC) programs providing preventive antimalarial medicine to children under 5 during the four peak transmission months in Sahel countries. Multiple high-quality studies demonstrate strong impact. GiveWell estimates cost of approximately $4,000 per life saved (2022-2024 average). About $7 to protect a child from malaria for one season. Also implements programs to combat pneumonia and other diseases.","Conducts high-quality ongoing monitoring of coverage and effectiveness. Shares detailed program data and evaluation results publicly.",https://www.malariaconsortium.org/pages/smc.htm
3,Helen Keller International,Nutrition,Sub-Saharan Africa and Asia,GiveWell,https://www.givewell.org/charities/helen-keller-international,"Provides vitamin A supplementation programs to children under 5 in areas with high deficiency rates. Vitamin A deficiency affects approximately 28% of children in program areas, leaving them vulnerable to infections that can lead to blindness and death. Strong evidence base from multiple randomized controlled trials showing mortality reduction. Cost-effective intervention delivering twice-yearly vitamin A capsules through mass campaigns.","Publishes program coverage data and participates in independent evaluations. Transparent about distribution challenges and lessons learned.",https://www.hki.org/our-work/treating-vitamin-a-deficiency/
4,New Incentives,Maternal and child health,Nigeria,GiveWell,https://www.givewell.org/charities/new-incentives,"Provides conditional cash transfers to caregivers who bring infants to government clinics for routine childhood immunizations. Works to increase vaccination coverage and reduce preventable child deaths in northern Nigeria. Disburses small cash payments (approximately $11 total per infant) conditional on receiving all age-appropriate vaccines. Evidence from randomized controlled trial shows significant impact on immunization rates. Also works with government partners to improve vaccine supply chains.","Tracks and publicly reports on vaccination rates and cash transfer delivery. Conducts regular monitoring and shares program data.",https://www.newincentives.org/program-overview
5,GiveDirectly,Cash transfers,Kenya Uganda Rwanda Malawi Mozambique DRC,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/givedirectly/,"Provides unconditional cash transfers via mobile money to people living in extreme poverty. Recipients can spend funds on their most pressing needs without restrictions. Multiple randomized controlled trials demonstrate positive impacts on consumption, assets, and psychological well-being. Also running historic 12-year Universal Basic Income study with 20,000+ participants in Kenya. Transfers delivered directly to recipients with minimal overhead. Average transfer size approximately $1,000 per household.","Highly transparent organization publishing detailed financial data, impact studies, and operational metrics. Independent research widely available.",https://www.givedirectly.org/financials/
6,Evidence Action,Water quality and deworming,Kenya Uganda Malawi India Nigeria Pakistan,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/evidence-action/,"Operates four main programs: (1) Safe Water Now provides chlorine dispensers at water points serving over 10 million people, (2) Deworm the World supports school-based deworming reaching 280+ million children, (3) Equal Vitamin Access strengthens vitamin A programs, (4) Syphilis-Free Start screens pregnant women. All programs based on rigorous evidence and cost-effectiveness analysis. Focus on scaling proven interventions through government partnerships.","Publishes annual reports with detailed program metrics, cost data, and monitoring results. Strong culture of measurement and transparency.",https://www.evidenceaction.org/our-impact/
7,One Acre Fund,Smallholder agriculture,Kenya Rwanda Tanzania Uganda Burundi Malawi Nigeria Zambia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/one-acre-fund/,"Supplies smallholder farmers with financing, agricultural training, quality seeds, fertilizer, and market facilitation. Serves over 5 million farmers in sub-Saharan Africa. Randomized controlled trials show significant increases in yields (average 50% increase) and farm income. Farmers repay financing through harvest proceeds. Model includes extensive field officer support with average 1:150 officer-to-farmer ratio. Focus on sustainable agricultural intensification and climate adaptation.","Publishes detailed annual impact reports with program metrics and independent evaluations. Transparent financial reporting available.",https://oneacrefund.org/what-we-do/
8,Living Goods,Community health workers,Kenya Uganda Burkina Faso,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/living-goods/,"Trains and supports community health workers (CHWs), primarily women, to deliver lifesaving medicines, health education, diagnoses, and products to millions. Focuses especially on preventing and treating leading causes of child deaths including malaria, pneumonia, and diarrhea. Randomized controlled trial in Uganda showed 27% reduction in under-5 mortality. CHWs equipped with smartphones for diagnostics, supply management, and supervision. Integrated Community Case Management approach.","Shares monitoring data and evaluation results publicly. Participates in rigorous external evaluations and publishes findings.",https://livinggoods.org/what-we-do/our-model/
9,Development Media International,Maternal and child health,Burkina Faso DRC Mozambique,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/development-media-international/,"Runs large-scale media campaigns using radio and other platforms to promote evidence-based health behaviors including maternal and child health, nutrition, hygiene, sanitation, sexual reproductive health, and early childhood development. Randomized controlled trial in Burkina Faso showed 10% reduction in under-5 mortality. Uses behavior change communication and social marketing principles to create engaging local-language programming. Reaches millions through radio broadcasts in low-income countries.","Publishes impact evaluation results and shares campaign monitoring data. Transparent about methodology and behavior change measurement.",https://www.developmentmedia.net/our-impact
10,Fistula Foundation,Maternal health surgery,Sub-Saharan Africa and Asia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/fistula-foundation/,"Treats obstetric fistula, a devastating childbirth injury causing incontinence that leaves women isolated and ashamed. Supports surgery costs (average $450 per surgery), surgeon training, facilities equipment, community outreach to find patients, and post-surgery reintegration. Has funded over 75,000 fistula repair surgeries with 90%+ success rate. Works in Ethiopia, Kenya, Tanzania, Uganda, Nigeria, Niger, Guinea, Malawi, and other countries. Holistic approach includes mental health support and vocational training.","Publishes detailed annual reports with surgery statistics, outcomes data, and financial information. Partner hospitals report regularly.",https://fistulafoundation.org/what-we-do/
