id,name,cause,regions,source_primary,evidence_text,source_url,transparency_notes,transparency_url
amf,Against Malaria Foundation,global_health,sub-saharan africa,givewell,"Supports the distribution of long-lasting insecticide-treated bed nets to prevent malaria. GiveWell identifies AMF as highly cost-effective due to strong evidence that bed nets reduce malaria-related morbidity and mortality. The organization emphasizes monitoring to ensure nets reach intended recipients and are used properly.",https://www.givewell.org/charities/amf,"GiveWell reports detailed post-distribution monitoring and follow-up surveys to track usage and coverage.",https://www.givewell.org/charities/amf
givedirectly,GiveDirectly,extreme_poverty,global,givewell,"Provides unconditional cash transfers directly to individuals living in extreme poverty. Multiple randomized controlled trials show recipients generally increase consumption and asset ownership. GiveWell highlights the transparency and flexibility of this approach, allowing recipients to prioritize their own needs.",https://www.givewell.org/charities/givedirectly,"Publishes information on transfer mechanisms, program costs, and evaluation studies.",https://www.givewell.org/charities/givedirectly
malaria_consortium,Malaria Consortium,global_health,sub-saharan africa,givewell,"Implements seasonal malaria chemoprevention programs targeting young children in high-risk regions. Evidence reviewed by GiveWell indicates these programs significantly reduce malaria incidence at relatively low cost. The organization has experience operating large-scale public health interventions.",https://www.givewell.org/charities/malaria-consortium,,
hki,Helen Keller International,global_health,global,givewell,"Delivers vitamin A supplementation programs aimed at reducing child mortality. GiveWell finds strong evidence that vitamin A supplementation lowers mortality among children in deficient populations. The organization works with governments to deliver interventions at scale.",https://www.givewell.org/charities/helen-keller-international,"Program delivery and outcomes are documented in evaluator reports and public summaries.",https://www.givewell.org/charities/helen-keller-international
evidence_action,Evidence Action,global_health,global,givewell,"Scales evidence-backed interventions such as deworming and safe water programs. GiveWell notes that these interventions are supported by rigorous research and can be delivered at relatively low cost per beneficiary. The organization focuses on operational efficiency and monitoring.",https://www.givewell.org/charities/evidence-action,,
new_incentives,New Incentives,extreme_poverty,nigeria,givewell,"Provides conditional cash incentives to encourage childhood vaccination in underserved areas of Nigeria. GiveWell reports evidence that these incentives increase vaccination rates. The program targets a clearly defined health outcome and population.",https://www.givewell.org/charities/new-incentives,"Program design and results are described in evaluator reviews and updates.",https://www.givewell.org/charities/new-incentives
living_goods,Living Goods,global_health,sub-saharan africa,tlycs,"Supports community health workers who deliver basic health services and products to households. The Life You Can Save highlights evidence that community-based health delivery can improve access to essential care. Programs focus on maternal and child health.",https://www.thelifeyoucansave.org/charity/living-goods/,, 
one_acre_fund,One Acre Fund,extreme_poverty,sub-saharan africa,tlycs,"Works with smallholder farmers to increase agricultural productivity and household income. The Life You Can Save notes evidence that participating farmers experience improved yields and food security. The organization combines inputs, training, and market access.",https://www.thelifeyoucansave.org/charity/one-acre-fund/,,
sightsavers,Sightsavers,global_health,global,tlycs,"Focuses on preventing avoidable blindness and treating neglected tropical diseases. The Life You Can Save reports that mass drug administration programs are supported by strong evidence and can be delivered cost-effectively. Sightsavers partners with governments to reach large populations.",https://www.thelifeyoucansave.org/charity/sightsavers/,,
no_lean_season,No Lean Season,extreme_poverty,bangladesh,tlycs,"Provides seasonal cash support to reduce hunger during agricultural lean periods. Evidence summarized by The Life You Can Save indicates that temporary migration and cash assistance can increase household income and food security. The program targets a specific seasonal poverty trap.",https://www.thelifeyoucansave.org/charity/no-lean-season/,,
